Kto jest mistrzem Luke'a Skywalkera?;Obi-Wan Kenobi;Yoda;Darth Vader;Qui-gon Jinn;A
Jak dokładnie brzmi słynny tekst z "Imperium kontratakuje", kiedy to Darth Vader obwieszcza Luke'owi, że jest jego ojcem?;"Luke, jestem twoim ojcem";"Nie, ja jestem twoim ojcem";"Luke, jesteś moim synem";"To ja jestem twoim ojcem";B
Który z tych bohaterów nie jest robotem?;IG-88;Profesor Huyang;MagnaGuard;FN-2187;D
C3PO to robot:;Naprawczy;Protokolarny;Guwernancki;Mediacyjny;B
Kto strzela pierwszy: Han Solo czy Greedo?;Han Solo (przecież wyraźnie widać na filmie!);Greedo (przecież wyraźnie widać na filmie!);Greedo (przecież wyraźnie widać na filmie!);Wszystko zależy od wersji filmu, a Lucas upiera się, że Greedo;D
Który z dowódców Imperium stał się bohaterem piosenki Kazika Staszewskiego?;Wilhuff Tarkin;Conan Antonio Motti;Firmus Piett;Kendal Ozzel;A
Jaka firma zbudowała statek kosmiczny Slave I, którym latał Boba Fett?;Kleven Verft;Weyland-Yutani;Kuat Systems Engineering;Dark Forces Unlimited;C
Słabym punktem Gwiazdy śmierci, pozwalającym na jej zniszczenie był:;Wlot szybu wentylacyjnego;Kryształ superlasera;Dolny hangar;Niewłaściwie opancerzony mostek kapitański;A
Han Solo został zamrożony w:;pykrecie;karbonicie;mazucie;koktajlu z midichlorianów;B
Kto nie dostał medalu za bitwę o Yavin?;Luke Skywwalker;Han Solo;Chewbacca;Leia;D
Jabba ścigał Hana Solo, ponieważ ten:;zaatakował karawanę kupiecką;zabił ochroniarza Jabby;wyrzucił przewożony dla Jabby ładunek;oszukiwał podczas gry w karty;C
Który prawdziwy, kosmiczny obiekt przypomina Gwiazdę Śmierci?;księżyc Jowisza, Europa;księżyc Saturna, Mimasa;błękitny olbrzym, Acrux (alfa Crucis);planetoida Itokawa;B
X-Wing to popularna nazwa myśliwca;T-65;ARC-170;BTL-S3;TIE/ln;A
Jaka broń była pierwowzorem pistoletu Hana Solo?;SIG-Sauer P226;Jericho 941;Lahti L-35;Mauser C96;D
Jak nazywała się rodzinna planeta Chewbakki?;Kashyyyk;Rwookrrorro;Wookiee;Mallatobuck;A
Sokół Millenium to zmodyfikowany;ciężki myśliwiec Porax-38;korweta CR-90;frachtowiec YT-1300;prom imperialny Lambda;C
Kogo Ewoki uznały za boga?;F8GN;C-3PO;R2-D2;BB-8;B
Czym są midichloriany?;Nośnikiem informacji genetycznej;Najtwardszą substancją w Galaktyce, odporną na ostrza mieczy świetlnych;Mikroskopijną formą życia, uwrażliwiającą na Moc;Silnikami, zapewniającymi napęd statkom serii TIE;C
Z jakiego filmu pochodzi kombinezon, w którym występuje łowca nagród Bossk?;Doctor Who;Godzilla kontra Mechagodzilla;Star Trek;2001: Odyseja kosmiczna;A
Jak nazywał się Jedi, który odkrył potencjał młodego niewolnika, Anakina Skywalkera?;Olana Chion;Qui-Gon Jinn;Hrabia Dooku;Obi-Wan Kenobi;B
